Extraction Type,Extraction Layer,Distance Function Type,Combination Function Level,# of Neurons per Layer,# of Layers,Loss Mean,Loss Std,Binary Accuracy Mean,Binary Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,True Negatives Mean,True Negatives Std,False Positives Mean,False Positives Std,False Negatives Mean,False Negatives Std,True Positives Mean,True Positives Std
Auto-Encoder,-1,Cosine,0,0,0,0.25611775398850434,0.0012664278376270511,0.4991499900817871,0.003287215918040508,0.49743497371673584,0.0032784205962037446,0.49561734199523927,0.035815395250050445,4034.2,296.2392614087471,3992.0,279.4342498692671,4021.6,284.313735158891,3952.2,292.9278068057043
Auto-Encoder,-1,Cosine,0,16,1,0.25175202240943906,0.0007016547377982082,0.49873749613761903,0.0024762096054513866,0.49789202213287354,0.002392560471074719,0.5637729465961456,0.15590490237118462,3479.4,1239.3162631063951,4536.6,1244.4174540723864,3483.6,1252.4616960210801,4500.4,1246.5313072682932
Auto-Encoder,-1,Cosine,0,64,1,0.2519502236306667,0.0008144467677022851,0.5021999955177308,0.003673017744480321,0.4989975690841675,0.010702508600418333,0.2971676617860794,0.1497540033642439,5660.2,1216.1651614809562,2362.0,1181.0184164525124,5602.8,1166.252416932115,2375.0,1201.665510863984
Auto-Encoder,-1,Cosine,2,0,0,0.24069733251333236,0.0016881840074468146,0.5842625021934509,0.00941298954829917,0.5771682262420654,0.01586883030265341,0.6380406022071838,0.06852233374565647,4247.8,597.9136225241904,3758.4,599.213901707896,2893.4,548.1959503681143,5100.4,548.8463355074897
Auto-Encoder,-1,Cosine,2,16,1,0.24818988474011422,0.001011513590219624,0.5380625009536744,0.013714951580245202,0.5495185136795044,0.008096139910282579,0.4830492824316025,0.17709054922095258,4701.4,1232.865686115077,3213.8,1218.841129926292,4177.2,1416.9194401941136,3907.6,1432.9093830385787
Auto-Encoder,-1,Cosine,2,64,1,0.24811942178606988,0.000678705644456185,0.5460874915122986,0.008665609736544238,0.5722067832946778,0.03223062590984654,0.40955513119697573,0.17286082916321427,5481.8,1364.7733145105087,2551.0,1415.7515671896676,4711.6,1410.678489238423,3255.6,1356.3628939188802
Auto-Encoder,-1,Cosine,4,0,0,0.23721923931837083,0.0023154212954515072,0.5946750164031982,0.0052515562555348495,0.5981720566749573,0.015291544584659486,0.5932047128677368,0.05156950714852462,4749.2,390.96636683991113,3215.4,426.82877128890925,3269.8,426.2132095559686,4765.6,402.25899617037777
Auto-Encoder,-1,Cosine,4,16,1,0.23849121531844136,0.0050125659858680045,0.5958999991416931,0.005955987986335278,0.60958331823349,0.04751623668658094,0.562240195274353,0.1151977629385132,5059.8,978.3648092608402,2982.8,971.1759366870659,3482.8,913.0674673867206,4474.6,920.1621052836289
Auto-Encoder,-1,Cosine,4,64,1,0.23867232857346538,0.0034744658986857087,0.5944625020027161,0.004633978770575985,0.6076797485351563,0.021091814327083267,0.5438697218894959,0.06998809318030763,5163.6,548.2903427929404,2837.8,585.2244868424424,3650.8,580.1932436697277,4347.8,537.3650528272192
Auto-Encoder,-1,Euclidean,0,0,0,0.25589572565555574,0.0013516411652652347,0.5011249959468842,0.006740871893411998,0.5004485607147217,0.006612294161306188,0.5046591699123383,0.030004787323026073,3985.6,240.69441206642085,4024.4,229.7439879518069,3957.6,237.50642096583408,4032.4,244.68408203232184
Auto-Encoder,-1,Euclidean,0,16,1,0.25208740493059156,0.000858816636937672,0.4974250078201294,0.002945275434734903,0.49542633891105653,0.003096876796521271,0.5429533779621124,0.09147950720942608,3640.8,751.139933700772,4403.2,773.1065256483093,3638.0,733.8981536970916,4318.0,710.4055179965876
Auto-Encoder,-1,Euclidean,0,64,1,0.2513389893949032,0.0004728334637762835,0.4969999849796295,0.003500545713579864,0.496278315782547,0.004267767712218105,0.5755434811115265,0.08492424378731427,3366.4,629.2954790875269,4659.0,690.5099564814399,3389.0,701.4153548362054,4585.6,640.7142888995063
Auto-Encoder,-1,Euclidean,2,0,0,0.22731442152261733,0.003419624308383799,0.6238874912261962,0.007257180630119874,0.6134239315986634,0.010967329217223766,0.6610863447189331,0.030944558628469995,4712.8,210.76930516562416,3319.2,171.7911522750808,2698.6,221.51817081223834,5269.4,299.60190253067486
Auto-Encoder,-1,Euclidean,2,16,1,0.2266904639005661,0.002626855237873959,0.6235875010490417,0.005537975570251056,0.6262566328048706,0.009281881170842918,0.6098820090293884,0.03194262684133851,5112.2,183.89725392185713,2908.2,236.0904487691105,3114.4,275.92807033718043,4865.2,220.61323623028605
Auto-Encoder,-1,Euclidean,2,64,1,0.22663054127693175,0.003238351134025392,0.625599992275238,0.008664156949220953,0.6309038281440735,0.01476448567227689,0.609555435180664,0.05194733079716689,5131.8,375.35010323696457,2865.2,384.0490854044571,3125.2,419.4284205916428,4877.8,408.4528124520628
Auto-Encoder,-1,Euclidean,4,0,0,0.23665955922603604,0.0017378119837226024,0.5960749983787537,0.0032847884790802562,0.6107641100883484,0.028383326061514492,0.5620331227779388,0.08256481071835829,5008.8,723.7366233651576,2936.8,699.1414020067757,3526.0,650.8874710731495,4528.4,674.9179950186541
Auto-Encoder,-1,Euclidean,4,16,1,0.24037440776824948,0.004236516282848079,0.5973000168800354,0.005872906856316887,0.6238281726837158,0.03992539984068244,0.5234112858772277,0.11224328242337737,5355.4,856.6914847248104,2620.6,840.865209174455,3822.6,889.2692505647544,4201.4,906.6299134707612
